doi,collection_date,abstract_views,full_text_views,pdf_downloads
10.1101/2019.12.11.872218,Mar 2020,28,27,12
10.1101/2019.12.11.872218,Apr 2020,14,16,9
10.1101/2019.12.11.872267,Dec 2019,672,17,118
10.1101/2019.12.11.872267,Jan 2020,74,26,28
10.1101/2019.12.11.872267,Feb 2020,66,33,14
10.1101/2019.12.11.872267,Mar 2020,66,22,16
10.1101/2019.12.11.872267,Apr 2020,17,15,14
10.1101/2019.12.11.872424,Dec 2019,532,10,112
10.1101/2019.12.11.872424,Jan 2020,101,13,25
10.1101/2019.12.11.872424,Feb 2020,75,21,22
10.1101/2019.12.11.872424,Mar 2020,44,13,14
10.1101/2019.12.11.872424,Apr 2020,41,23,33
10.1101/2019.12.11.872432,Dec 2019,525,7,89
10.1101/2019.12.11.872432,Jan 2020,59,10,29
10.1101/2019.12.11.872432,Feb 2020,55,19,20
10.1101/2019.12.11.872432,Mar 2020,58,6,16
10.1101/2019.12.11.872432,Apr 2020,29,3,20
10.1101/2019.12.11.872457,Dec 2019,503,13,102
10.1101/2019.12.11.872457,Jan 2020,86,7,33
10.1101/2019.12.11.872457,Feb 2020,144,24,26
10.1101/2019.12.11.872457,Mar 2020,71,26,22
10.1101/2019.12.11.872457,Apr 2020,32,9,14
10.1101/2019.12.11.872481,Dec 2019,637,18,100
10.1101/2019.12.11.872481,Jan 2020,96,24,33
10.1101/2019.12.11.872481,Feb 2020,122,21,18
10.1101/2019.12.11.872481,Mar 2020,88,22,44
10.1101/2019.12.11.872481,Apr 2020,47,10,27
10.1101/2019.12.11.872515,Dec 2019,311,5,46
10.1101/2019.12.11.872515,Jan 2020,34,8,15
10.1101/2019.12.11.872515,Feb 2020,37,14,12
10.1101/2019.12.11.872515,Mar 2020,28,11,9
10.1101/2019.12.11.872515,Apr 2020,17,1,11
10.1101/2019.12.11.872556,Dec 2019,256,4,55
10.1101/2019.12.11.872556,Jan 2020,58,17,42
10.1101/2019.12.11.872556,Feb 2020,43,28,22
10.1101/2019.12.11.872556,Mar 2020,116,49,43
10.1101/2019.12.11.872556,Apr 2020,42,10,22
10.1101/2019.12.11.872564,Dec 2019,334,6,68
10.1101/2019.12.11.872564,Jan 2020,48,11,21
10.1101/2019.12.11.872564,Feb 2020,36,27,8
10.1101/2019.12.11.872564,Mar 2020,32,24,8
10.1101/2019.12.11.872564,Apr 2020,14,7,11
10.1101/2019.12.11.872580,Dec 2019,987,32,105
10.1101/2019.12.11.872580,Jan 2020,301,39,86
10.1101/2019.12.11.872580,Feb 2020,103,71,41
10.1101/2019.12.11.872580,Mar 2020,94,55,42
10.1101/2019.12.11.872580,Apr 2020,106,53,30
10.1101/2019.12.11.872606,Dec 2019,363,7,62
10.1101/2019.12.11.872606,Jan 2020,153,9,33
10.1101/2019.12.11.872606,Feb 2020,56,20,10
10.1101/2019.12.11.872606,Mar 2020,51,11,17
10.1101/2019.12.11.872606,Apr 2020,29,7,19
10.1101/2019.12.11.872630,Dec 2019,221,10,57
10.1101/2019.12.11.872630,Jan 2020,57,8,53
10.1101/2019.12.11.872630,Feb 2020,59,18,40
10.1101/2019.12.11.872630,Mar 2020,41,12,37
10.1101/2019.12.11.872630,Apr 2020,42,4,70
10.1101/2019.12.11.872705,Dec 2019,1119,59,190
10.1101/2019.12.11.872705,Jan 2020,206,33,71
10.1101/2019.12.11.872705,Feb 2020,79,26,140
10.1101/2019.12.11.872705,Mar 2020,64,12,13
10.1101/2019.12.11.872705,Apr 2020,40,6,18
10.1101/2019.12.11.872721,Dec 2019,626,19,208
10.1101/2019.12.11.872721,Jan 2020,92,30,45
10.1101/2019.12.11.872721,Feb 2020,93,31,34
10.1101/2019.12.11.872721,Mar 2020,89,43,75
10.1101/2019.12.11.872721,Apr 2020,62,47,62
10.1101/2019.12.11.872747,Dec 2019,405,4,89
10.1101/2019.12.11.872747,Jan 2020,97,44,60
10.1101/2019.12.11.872747,Feb 2020,58,34,29
10.1101/2019.12.11.872747,Mar 2020,53,17,22
10.1101/2019.12.11.872747,Apr 2020,176,21,50
10.1101/2019.12.11.872754,Dec 2019,423,9,75
10.1101/2019.12.11.872754,Jan 2020,48,9,32
10.1101/2019.12.11.872754,Feb 2020,74,18,17
10.1101/2019.12.11.872754,Mar 2020,40,12,15
10.1101/2019.12.11.872754,Apr 2020,23,7,18
10.1101/2019.12.11.872788,Dec 2019,276,7,78
10.1101/2019.12.11.872788,Jan 2020,72,56,20
10.1101/2019.12.11.872788,Feb 2020,50,107,13
10.1101/2019.12.11.872788,Mar 2020,94,120,33
10.1101/2019.12.11.872788,Apr 2020,52,70,24
10.1101/2019.12.11.872804,Dec 2019,286,3,43
10.1101/2019.12.11.872804,Jan 2020,30,9,13
10.1101/2019.12.11.872804,Feb 2020,34,17,10
10.1101/2019.12.11.872804,Mar 2020,37,11,7
10.1101/2019.12.11.872804,Apr 2020,16,1,19
10.1101/2019.12.11.872812,Dec 2019,565,16,137
10.1101/2019.12.11.872812,Jan 2020,123,47,47
10.1101/2019.12.11.872812,Feb 2020,86,83,72
10.1101/2019.12.11.872812,Mar 2020,92,62,50
10.1101/2019.12.11.872812,Apr 2020,20,46,28
10.1101/2019.12.11.872838,Dec 2019,409,8,74
10.1101/2019.12.11.872838,Jan 2020,75,8,24
10.1101/2019.12.11.872838,Feb 2020,85,21,44
10.1101/2019.12.11.872838,Mar 2020,57,12,26
10.1101/2019.12.11.872838,Apr 2020,35,6,42
10.1101/2019.12.11.872861,Dec 2019,796,8,187
10.1101/2019.12.11.872861,Jan 2020,164,20,48
10.1101/2019.12.11.872861,Feb 2020,81,24,34
10.1101/2019.12.11.872861,Mar 2020,91,33,32
10.1101/2019.12.11.872861,Apr 2020,69,14,37
10.1101/2019.12.11.872887,Dec 2019,511,12,89
10.1101/2019.12.11.872887,Jan 2020,48,13,24
10.1101/2019.12.11.872887,Feb 2020,39,28,16
10.1101/2019.12.11.872887,Mar 2020,41,26,19
10.1101/2019.12.11.872887,Apr 2020,41,18,41
10.1101/2019.12.11.872895,Dec 2019,996,25,276
10.1101/2019.12.11.872895,Jan 2020,324,139,153
10.1101/2019.12.11.872895,Feb 2020,215,108,96
10.1101/2019.12.11.872895,Mar 2020,240,206,141
10.1101/2019.12.11.872895,Apr 2020,172,122,93
10.1101/2019.12.11.872903,Dec 2019,412,8,73
10.1101/2019.12.11.872903,Jan 2020,68,22,25
10.1101/2019.12.11.872903,Feb 2020,282,50,22
10.1101/2019.12.11.872903,Mar 2020,98,45,19
10.1101/2019.12.11.872903,Apr 2020,42,14,10
10.1101/2019.12.11.872929,Dec 2019,483,6,54
10.1101/2019.12.11.872929,Jan 2020,105,12,28
10.1101/2019.12.11.872929,Feb 2020,39,25,18
10.1101/2019.12.11.872929,Mar 2020,47,9,18
10.1101/2019.12.11.872929,Apr 2020,9,4,13
10.1101/2019.12.11.872937,Dec 2019,313,4,61
10.1101/2019.12.11.872937,Jan 2020,42,6,18
10.1101/2019.12.11.872937,Feb 2020,34,18,10
10.1101/2019.12.11.872937,Mar 2020,34,14,10
10.1101/2019.12.11.872937,Apr 2020,16,1,10
10.1101/2019.12.11.872945,Dec 2019,547,10,88
10.1101/2019.12.11.872945,Jan 2020,82,26,16
10.1101/2019.12.11.872945,Feb 2020,58,19,11
10.1101/2019.12.11.872945,Mar 2020,55,9,15
10.1101/2019.12.11.872945,Apr 2020,33,5,22
10.1101/2019.12.11.872978,Dec 2019,359,13,78
10.1101/2019.12.11.872978,Jan 2020,181,12,34
10.1101/2019.12.11.872978,Feb 2020,43,22,21
10.1101/2019.12.11.872978,Mar 2020,65,16,24
10.1101/2019.12.11.872978,Apr 2020,30,9,35
10.1101/2019.12.11.872986,Dec 2019,690,7,211
10.1101/2019.12.11.872986,Jan 2020,124,13,51
10.1101/2019.12.11.872986,Feb 2020,108,31,55
10.1101/2019.12.11.872986,Mar 2020,106,17,46
10.1101/2019.12.11.872986,Apr 2020,71,35,66
10.1101/2019.12.11.872994,Dec 2019,367,3,69
10.1101/2019.12.11.872994,Jan 2020,27,8,13
10.1101/2019.12.11.872994,Feb 2020,31,19,8
10.1101/2019.12.11.872994,Mar 2020,23,12,9
