doi,collection_date,abstract_views,full_text_views,pdf_downloads
10.1101/2020.01.08.898718,Jan 2020,559,42,199
10.1101/2020.01.08.898718,Feb 2020,155,34,78
10.1101/2020.01.08.898718,Mar 2020,91,16,40
10.1101/2020.01.08.898718,Apr 2020,74,9,63
10.1101/2020.01.08.898734,Jan 2020,467,12,106
10.1101/2020.01.08.898734,Feb 2020,75,27,35
10.1101/2020.01.08.898734,Mar 2020,70,20,30
10.1101/2020.01.08.898734,Apr 2020,31,6,16
10.1101/2020.01.08.898742,Jan 2020,876,16,134
10.1101/2020.01.08.898742,Feb 2020,106,22,22
10.1101/2020.01.08.898742,Mar 2020,100,14,13
10.1101/2020.01.08.898742,Apr 2020,39,4,14
10.1101/2020.01.08.898759,Jan 2020,623,15,180
10.1101/2020.01.08.898759,Feb 2020,106,19,28
10.1101/2020.01.08.898759,Mar 2020,91,16,34
10.1101/2020.01.08.898759,Apr 2020,47,5,35
10.1101/2020.01.08.898767,Jan 2020,276,13,75
10.1101/2020.01.08.898767,Feb 2020,55,21,18
10.1101/2020.01.08.898767,Mar 2020,40,16,10
10.1101/2020.01.08.898767,Apr 2020,46,23,40
10.1101/2020.01.08.898775,Jan 2020,279,11,98
10.1101/2020.01.08.898775,Feb 2020,109,16,51
10.1101/2020.01.08.898775,Mar 2020,1022,13,635
10.1101/2020.01.08.898775,Apr 2020,100,2,42
10.1101/2020.01.08.898783,Jan 2020,2044,78,794
10.1101/2020.01.08.898783,Feb 2020,318,58,212
10.1101/2020.01.08.898783,Mar 2020,307,42,157
10.1101/2020.01.08.898783,Apr 2020,241,27,138
10.1101/2020.01.08.898817,Jan 2020,1590,41,611
10.1101/2020.01.08.898817,Feb 2020,218,45,86
10.1101/2020.01.08.898817,Mar 2020,110,21,71
10.1101/2020.01.08.898817,Apr 2020,143,23,85
10.1101/2020.01.08.898825,Jan 2020,533,16,202
10.1101/2020.01.08.898825,Feb 2020,88,28,24
10.1101/2020.01.08.898825,Mar 2020,79,40,46
10.1101/2020.01.08.898825,Apr 2020,42,6,24
10.1101/2020.01.08.898841,Jan 2020,516,5,145
10.1101/2020.01.08.898841,Feb 2020,62,16,25
10.1101/2020.01.08.898841,Mar 2020,62,9,21
10.1101/2020.01.08.898841,Apr 2020,40,5,27
10.1101/2020.01.08.898874,Jan 2020,892,21,265
10.1101/2020.01.08.898874,Feb 2020,136,36,34
10.1101/2020.01.08.898874,Mar 2020,106,22,30
10.1101/2020.01.08.898874,Apr 2020,40,3,32
10.1101/2020.01.08.898890,Jan 2020,473,14,166
10.1101/2020.01.08.898890,Feb 2020,104,18,31
10.1101/2020.01.08.898890,Mar 2020,72,15,33
10.1101/2020.01.08.898890,Apr 2020,50,4,53
10.1101/2020.01.08.898908,Jan 2020,508,77,174
10.1101/2020.01.08.898908,Feb 2020,119,38,39
10.1101/2020.01.08.898908,Mar 2020,93,20,35
10.1101/2020.01.08.898908,Apr 2020,42,4,18
10.1101/2020.01.08.898916,Jan 2020,449,6,65
10.1101/2020.01.08.898916,Feb 2020,70,17,12
10.1101/2020.01.08.898916,Mar 2020,42,8,12
10.1101/2020.01.08.898916,Apr 2020,30,2,17
10.1101/2020.01.08.898924,Jan 2020,339,10,65
10.1101/2020.01.08.898924,Feb 2020,49,18,21
10.1101/2020.01.08.898924,Mar 2020,62,9,9
10.1101/2020.01.08.898924,Apr 2020,32,12,19
10.1101/2020.01.08.898932,Jan 2020,426,12,92
10.1101/2020.01.08.898932,Feb 2020,66,15,23
10.1101/2020.01.08.898932,Mar 2020,39,11,14
10.1101/2020.01.08.898932,Apr 2020,36,6,25
10.1101/2020.01.08.898940,Jan 2020,241,8,88
10.1101/2020.01.08.898940,Feb 2020,83,19,40
10.1101/2020.01.08.898940,Mar 2020,52,12,47
10.1101/2020.01.08.898940,Apr 2020,36,3,37
10.1101/2020.01.08.898957,Jan 2020,647,21,113
10.1101/2020.01.08.898957,Feb 2020,61,18,16
10.1101/2020.01.08.898957,Mar 2020,43,9,14
10.1101/2020.01.08.898957,Apr 2020,31,5,18
10.1101/2020.01.08.898965,Jan 2020,558,25,113
10.1101/2020.01.08.898965,Feb 2020,92,41,42
10.1101/2020.01.08.898965,Mar 2020,68,38,29
10.1101/2020.01.08.898965,Apr 2020,63,27,53
10.1101/2020.01.08.898999,Jan 2020,553,13,219
10.1101/2020.01.08.898999,Feb 2020,93,19,30
10.1101/2020.01.08.898999,Mar 2020,67,11,49
10.1101/2020.01.08.898999,Apr 2020,37,5,26
10.1101/2020.01.08.899005,Jan 2020,627,22,113
10.1101/2020.01.08.899005,Feb 2020,76,40,17
10.1101/2020.01.08.899005,Mar 2020,74,26,26
10.1101/2020.01.08.899005,Apr 2020,39,19,26
10.1101/2020.01.08.899013,Jan 2020,559,9,128
10.1101/2020.01.08.899013,Feb 2020,250,19,45
10.1101/2020.01.08.899013,Mar 2020,253,13,23
10.1101/2020.01.08.899013,Apr 2020,102,2,18
10.1101/2020.01.08.899039,Jan 2020,451,20,122
10.1101/2020.01.08.899039,Feb 2020,67,20,22
10.1101/2020.01.08.899039,Mar 2020,51,15,41
10.1101/2020.01.08.899039,Apr 2020,41,13,39
10.1101/2020.01.08.899047,Jan 2020,417,11,87
10.1101/2020.01.08.899047,Feb 2020,47,17,15
10.1101/2020.01.08.899047,Mar 2020,32,9,16
10.1101/2020.01.08.899047,Apr 2020,19,6,23
10.1101/2020.01.08.899062,Jan 2020,357,17,74
10.1101/2020.01.08.899062,Feb 2020,85,19,34
10.1101/2020.01.08.899062,Mar 2020,83,17,30
10.1101/2020.01.08.899062,Apr 2020,38,6,29
10.1101/2020.01.08.899070,Jan 2020,712,44,312
10.1101/2020.01.08.899070,Feb 2020,135,31,83
10.1101/2020.01.08.899070,Mar 2020,986,83,284
10.1101/2020.01.08.899070,Apr 2020,155,27,90
10.1101/2020.01.08.899088,Jan 2020,563,21,119
10.1101/2020.01.08.899088,Feb 2020,127,27,34
10.1101/2020.01.08.899088,Mar 2020,107,11,40
10.1101/2020.01.08.899088,Apr 2020,59,5,48
10.1101/2020.01.08.899096,Jan 2020,532,11,108
10.1101/2020.01.08.899096,Feb 2020,67,18,25
10.1101/2020.01.08.899096,Mar 2020,67,23,33
10.1101/2020.01.08.899096,Apr 2020,30,13,22
10.1101/2020.01.08.899112,Jan 2020,1315,36,276
10.1101/2020.01.08.899112,Feb 2020,104,29,30
10.1101/2020.01.08.899112,Mar 2020,89,9,27
10.1101/2020.01.08.899112,Apr 2020,61,5,32
10.1101/2020.01.08.899146,Jan 2020,11441,55,268
10.1101/2020.01.08.899146,Feb 2020,106,38,53
10.1101/2020.01.08.899146,Mar 2020,93,50,93
10.1101/2020.01.08.899146,Apr 2020,86,62,73
10.1101/2020.01.08.899153,Jan 2020,500,18,105
10.1101/2020.01.08.899153,Feb 2020,66,24,39
10.1101/2020.01.08.899153,Mar 2020,92,17,39
10.1101/2020.01.08.899153,Apr 2020,34,3,25
10.1101/2020.01.08.899203,Jan 2020,1830,80,487
10.1101/2020.01.08.899203,Feb 2020,230,52,76
10.1101/2020.01.08.899203,Mar 2020,142,29,45
10.1101/2020.01.08.899203,Apr 2020,90,23,44
10.1101/2020.01.08.899229,Jan 2020,1555,37,436
10.1101/2020.01.08.899229,Feb 2020,278,123,132
10.1101/2020.01.08.899229,Mar 2020,149,54,46
10.1101/2020.01.08.899229,Apr 2020,88,41,62
10.1101/2020.01.08.899252,Jan 2020,379,8,47
10.1101/2020.01.08.899252,Feb 2020,65,16,17
10.1101/2020.01.08.899252,Mar 2020,174,20,32
10.1101/2020.01.08.899252,Apr 2020,37,7,19
10.1101/2020.01.08.899260,Jan 2020,600,13,140
10.1101/2020.01.08.899260,Feb 2020,77,20,20
10.1101/2020.01.08.899260,Mar 2020,68,15,22
10.1101/2020.01.08.899260,Apr 2020,22,6,16
10.1101/2020.01.08.899278,Jan 2020,408,22,155
10.1101/2020.01.08.899278,Feb 2020,53,18,21
10.1101/2020.01.08.899278,Mar 2020,55,12,25
10.1101/2020.01.08.899278,Apr 2020,46,10,33
10.1101/2020.01.08.899294,Jan 2020,440,14,82
10.1101/2020.01.08.899294,Feb 2020,69,17,22
10.1101/2020.01.08.899294,Mar 2020,54,35,18
10.1101/2020.01.08.899294,Apr 2020,39,28,25
10.1101/2020.01.08.899310,Jan 2020,450,17,88
10.1101/2020.01.08.899310,Feb 2020,65,25,18
10.1101/2020.01.08.899310,Mar 2020,46,11,16
10.1101/2020.01.08.899310,Apr 2020,19,21,23
10.1101/2020.01.08.899328,Jan 2020,281,19,71
10.1101/2020.01.08.899328,Feb 2020,54,19,24
10.1101/2020.01.08.899328,Mar 2020,38,23,11
10.1101/2020.01.08.899328,Apr 2020,36,21,23
10.1101/2020.01.08.899336,Jan 2020,330,11,70
10.1101/2020.01.08.899336,Feb 2020,57,23,12
10.1101/2020.01.08.899336,Mar 2020,31,15,11
10.1101/2020.01.08.899336,Apr 2020,17,6,10
10.1101/2020.01.08.899344,Jan 2020,398,16,105
10.1101/2020.01.08.899344,Feb 2020,59,19,14
10.1101/2020.01.08.899344,Mar 2020,45,14,23
10.1101/2020.01.08.899344,Apr 2020,28,10,21
10.1101/2020.01.08.899351,Jan 2020,701,38,146
10.1101/2020.01.08.899351,Feb 2020,165,39,24
10.1101/2020.01.08.899351,Mar 2020,51,16,20
10.1101/2020.01.08.899351,Apr 2020,39,7,21
10.1101/2020.01.08.899369,Jan 2020,364,19,104
10.1101/2020.01.08.899369,Feb 2020,78,19,23
10.1101/2020.01.08.899369,Mar 2020,47,57,10
10.1101/2020.01.08.899369,Apr 2020,14,80,14
10.1101/2020.01.08.899377,Jan 2020,233,13,66
10.1101/2020.01.08.899377,Feb 2020,65,17,106
10.1101/2020.01.08.899377,Mar 2020,37,13,12
10.1101/2020.01.08.899377,Apr 2020,32,15,11
10.1101/2020.01.08.899385,Jan 2020,315,14,76
10.1101/2020.01.08.899385,Feb 2020,54,16,17
10.1101/2020.01.08.899385,Mar 2020,50,12,14
10.1101/2020.01.08.899385,Apr 2020,27,3,24
10.1101/2020.01.08.899393,Jan 2020,335,8,71
10.1101/2020.01.08.899393,Feb 2020,50,24,19
10.1101/2020.01.08.899393,Mar 2020,44,14,12
10.1101/2020.01.08.899393,Apr 2020,28,6,16
10.1101/2020.01.08.899401,Jan 2020,356,15,99
10.1101/2020.01.08.899401,Feb 2020,51,19,25
10.1101/2020.01.08.899401,Mar 2020,48,19,18
10.1101/2020.01.08.899401,Apr 2020,30,3,21
10.1101/2020.01.08.899419,Jan 2020,335,10,62
10.1101/2020.01.08.899419,Feb 2020,34,13,9
10.1101/2020.01.08.899419,Mar 2020,30,12,8
10.1101/2020.01.08.899419,Apr 2020,9,2,10
10.1101/2020.01.08.899427,Jan 2020,396,13,101
10.1101/2020.01.08.899427,Feb 2020,82,28,15
10.1101/2020.01.08.899427,Mar 2020,53,28,21
10.1101/2020.01.08.899427,Apr 2020,56,20,42
10.1101/2020.01.08.899435,Jan 2020,318,8,118
10.1101/2020.01.08.899435,Feb 2020,86,18,28
10.1101/2020.01.08.899435,Mar 2020,54,17,32
10.1101/2020.01.08.899435,Apr 2020,109,9,55
10.1101/2020.01.08.899443,Jan 2020,337,12,66
10.1101/2020.01.08.899443,Feb 2020,62,33,36
10.1101/2020.01.08.899443,Mar 2020,33,14,18
10.1101/2020.01.08.899443,Apr 2020,31,11,27
10.1101/2020.01.08.899476,Jan 2020,591,19,137
10.1101/2020.01.08.899476,Feb 2020,117,63,42
10.1101/2020.01.08.899476,Mar 2020,74,40,44
10.1101/2020.01.08.899476,Apr 2020,39,24,32
10.1101/2020.01.08.899484,Jan 2020,780,22,272
10.1101/2020.01.08.899484,Feb 2020,78,31,68
10.1101/2020.01.08.899484,Mar 2020,47,19,10
10.1101/2020.01.08.899484,Apr 2020,18,15,16
10.1101/2020.01.08.899492,Jan 2020,341,7,112
10.1101/2020.01.08.899492,Feb 2020,100,36,58
10.1101/2020.01.08.899492,Mar 2020,86,12,43
10.1101/2020.01.08.899492,Apr 2020,59,23,44
10.1101/2020.01.08.899518,Jan 2020,458,13,135
10.1101/2020.01.08.899518,Feb 2020,68,19,31
10.1101/2020.01.08.899518,Mar 2020,51,23,22
10.1101/2020.01.08.899518,Apr 2020,27,6,16
10.1101/2020.01.08.899526,Jan 2020,442,8,125
10.1101/2020.01.08.899526,Feb 2020,60,17,41
10.1101/2020.01.08.899526,Mar 2020,49,10,20
10.1101/2020.01.08.899526,Apr 2020,29,1,12
10.1101/2020.01.08.899534,Jan 2020,267,19,65
10.1101/2020.01.08.899534,Feb 2020,77,22,26
10.1101/2020.01.08.899534,Mar 2020,49,14,26
10.1101/2020.01.08.899534,Apr 2020,36,4,29
10.1101/2020.01.08.899583,Jan 2020,1828,48,710
10.1101/2020.01.08.899583,Feb 2020,221,34,113
10.1101/2020.01.08.899583,Mar 2020,251,30,115
10.1101/2020.01.08.899583,Apr 2020,134,15,95
10.1101/2020.01.08.899609,Jan 2020,594,12,157
10.1101/2020.01.08.899609,Feb 2020,134,22,78
10.1101/2020.01.08.899609,Mar 2020,77,36,52
10.1101/2020.01.08.899609,Apr 2020,33,9,43
10.1101/2020.01.08.899617,Jan 2020,391,5,44
10.1101/2020.01.08.899617,Feb 2020,56,18,19
10.1101/2020.01.08.899617,Mar 2020,52,12,19
10.1101/2020.01.08.899617,Apr 2020,25,2,38
10.1101/2020.01.08.899633,Jan 2020,618,28,109
10.1101/2020.01.08.899633,Feb 2020,140,87,45
10.1101/2020.01.08.899633,Mar 2020,142,55,41
10.1101/2020.01.08.899633,Apr 2020,57,49,28
10.1101/2020.01.08.899641,Jan 2020,281,12,75
10.1101/2020.01.08.899641,Feb 2020,51,15,17
10.1101/2020.01.08.899641,Mar 2020,30,13,13
10.1101/2020.01.08.899641,Apr 2020,37,6,29
10.1101/2020.01.08.899666,Jan 2020,457,11,127
10.1101/2020.01.08.899666,Feb 2020,65,24,20
10.1101/2020.01.08.899666,Mar 2020,68,52,29
10.1101/2020.01.08.899666,Apr 2020,24,23,33
10.1101/2020.01.08.899682,Jan 2020,575,12,240
10.1101/2020.01.08.899682,Feb 2020,79,20,31
10.1101/2020.01.08.899682,Mar 2020,74,22,35
10.1101/2020.01.08.899682,Apr 2020,69,7,42
10.1101/2020.01.08.899690,Jan 2020,881,60,194
10.1101/2020.01.08.899690,Feb 2020,113,40,60
10.1101/2020.01.08.899690,Mar 2020,79,32,23
10.1101/2020.01.08.899690,Apr 2020,24,6,30
10.1101/2020.01.08.899708,Jan 2020,563,11,72
10.1101/2020.01.08.899708,Feb 2020,75,29,22
10.1101/2020.01.08.899708,Mar 2020,60,24,19
10.1101/2020.01.08.899708,Apr 2020,22,15,15
10.1101/2020.01.08.899740,Jan 2020,490,14,115
10.1101/2020.01.08.899740,Feb 2020,61,21,26
10.1101/2020.01.08.899740,Mar 2020,54,12,21
10.1101/2020.01.08.899740,Apr 2020,53,8,36
10.1101/2020.01.08.899757,Jan 2020,362,15,72
10.1101/2020.01.08.899757,Feb 2020,66,18,13
10.1101/2020.01.08.899757,Mar 2020,48,10,14
10.1101/2020.01.08.899757,Apr 2020,26,8,13
10.1101/2020.01.08.899773,Jan 2020,503,12,140
10.1101/2020.01.08.899773,Feb 2020,52,23,18
10.1101/2020.01.08.899773,Mar 2020,48,14,13
10.1101/2020.01.08.899773,Apr 2020,20,4,20
10.1101/2020.01.08.899781,Jan 2020,365,5,45
10.1101/2020.01.08.899781,Feb 2020,51,21,18
10.1101/2020.01.08.899781,Mar 2020,41,9,14
10.1101/2020.01.08.899781,Apr 2020,40,10,38
10.1101/2020.01.09.868018,Jan 2020,452,47,133
10.1101/2020.01.09.868018,Feb 2020,65,40,47
10.1101/2020.01.09.868018,Mar 2020,46,22,20
10.1101/2020.01.09.868018,Apr 2020,39,38,37
10.1101/2020.01.09.883827,Jan 2020,291,11,99
10.1101/2020.01.09.883827,Feb 2020,87,16,20
10.1101/2020.01.09.883827,Mar 2020,32,11,13
10.1101/2020.01.09.883827,Apr 2020,50,3,25
10.1101/2020.01.09.890764,Jan 2020,726,28,158
10.1101/2020.01.09.890764,Feb 2020,84,25,25
10.1101/2020.01.09.890764,Mar 2020,57,32,25
10.1101/2020.01.09.890764,Apr 2020,41,11,25
10.1101/2020.01.09.893560,Jan 2020,2544,113,717
10.1101/2020.01.09.893560,Feb 2020,199,77,107
10.1101/2020.01.09.893560,Mar 2020,144,77,108
10.1101/2020.01.09.893560,Apr 2020,105,60,86
10.1101/2020.01.09.893701,Jan 2020,820,14,166
10.1101/2020.01.09.893701,Feb 2020,118,26,26
10.1101/2020.01.09.893701,Mar 2020,135,20,32
10.1101/2020.01.09.893701,Apr 2020,50,56,37
10.1101/2020.01.09.896878,Jan 2020,737,24,132
10.1101/2020.01.09.896878,Feb 2020,108,45,25
10.1101/2020.01.09.896878,Mar 2020,82,31,31
10.1101/2020.01.09.896878,Apr 2020,73,10,61
10.1101/2020.01.09.897157,Jan 2020,1487,55,385
10.1101/2020.01.09.897157,Feb 2020,409,57,130
10.1101/2020.01.09.897157,Mar 2020,169,45,95
10.1101/2020.01.09.897157,Apr 2020,160,24,86
10.1101/2020.01.09.897314,Jan 2020,347,16,55
10.1101/2020.01.09.897314,Feb 2020,48,19,16
10.1101/2020.01.09.897314,Mar 2020,38,13,13
10.1101/2020.01.09.897314,Apr 2020,26,8,21
10.1101/2020.01.09.897868,Jan 2020,1073,37,249
10.1101/2020.01.09.897868,Feb 2020,175,32,72
10.1101/2020.01.09.897868,Mar 2020,87,20,35
10.1101/2020.01.09.897868,Apr 2020,94,25,80
10.1101/2020.01.09.898064,Jan 2020,468,14,111
10.1101/2020.01.09.898064,Feb 2020,55,19,15
10.1101/2020.01.09.898064,Mar 2020,35,14,21
10.1101/2020.01.09.898064,Apr 2020,33,3,23
10.1101/2020.01.09.898098,Jan 2020,441,7,171
10.1101/2020.01.09.898098,Feb 2020,59,21,28
10.1101/2020.01.09.898098,Mar 2020,38,13,22
10.1101/2020.01.09.898098,Apr 2020,20,4,10
10.1101/2020.01.09.898510,Jan 2020,1114,34,411
10.1101/2020.01.09.898510,Feb 2020,119,26,44
10.1101/2020.01.09.898510,Mar 2020,90,12,45
10.1101/2020.01.09.898510,Apr 2020,47,4,22
10.1101/2020.01.09.898684,Jan 2020,593,15,132
10.1101/2020.01.09.898684,Feb 2020,87,27,28
10.1101/2020.01.09.898684,Mar 2020,56,18,23
10.1101/2020.01.09.898684,Apr 2020,54,6,38
10.1101/2020.01.09.898692,Jan 2020,247,7,47
10.1101/2020.01.09.898692,Feb 2020,43,18,16
10.1101/2020.01.09.898692,Mar 2020,27,15,12
10.1101/2020.01.09.898692,Apr 2020,10,1,9
10.1101/2020.01.09.898809,Jan 2020,492,13,86
10.1101/2020.01.09.898809,Feb 2020,48,17,10
10.1101/2020.01.09.898809,Mar 2020,45,13,25
10.1101/2020.01.09.898809,Apr 2020,20,12,19
10.1101/2020.01.09.898866,Jan 2020,461,11,126
10.1101/2020.01.09.898866,Feb 2020,120,22,33
10.1101/2020.01.09.898866,Mar 2020,66,20,29
10.1101/2020.01.09.898866,Apr 2020,47,4,29
10.1101/2020.01.09.899054,Jan 2020,579,34,150
10.1101/2020.01.09.899054,Feb 2020,124,23,40
10.1101/2020.01.09.899054,Mar 2020,79,25,24
10.1101/2020.01.09.899054,Apr 2020,48,21,24
10.1101/2020.01.09.899195,Jan 2020,455,11,97
10.1101/2020.01.09.899195,Feb 2020,75,23,21
10.1101/2020.01.09.899195,Mar 2020,83,16,10
10.1101/2020.01.09.899195,Apr 2020,21,5,18
10.1101/2020.01.09.899237,Jan 2020,802,66,180
10.1101/2020.01.09.899237,Feb 2020,146,59,58
10.1101/2020.01.09.899237,Mar 2020,87,28,41
10.1101/2020.01.09.899237,Apr 2020,75,43,51
10.1101/2020.01.09.899716,Jan 2020,1601,38,235
10.1101/2020.01.09.899716,Feb 2020,333,20,38
10.1101/2020.01.09.899716,Mar 2020,218,15,27
10.1101/2020.01.09.899716,Apr 2020,51,3,25
10.1101/2020.01.09.899724,Jan 2020,645,40,151
10.1101/2020.01.09.899724,Feb 2020,121,34,29
10.1101/2020.01.09.899724,Mar 2020,78,35,43
10.1101/2020.01.09.899724,Apr 2020,60,29,52
10.1101/2020.01.09.899807,Jan 2020,383,6,56
10.1101/2020.01.09.899807,Feb 2020,41,16,13
10.1101/2020.01.09.899807,Mar 2020,31,9,9
10.1101/2020.01.09.899807,Apr 2020,28,2,14
10.1101/2020.01.09.899815,Jan 2020,383,22,104
10.1101/2020.01.09.899815,Feb 2020,64,26,40
10.1101/2020.01.09.899815,Mar 2020,48,30,18
10.1101/2020.01.09.899815,Apr 2020,18,8,15
10.1101/2020.01.09.899823,Jan 2020,328,8,83
10.1101/2020.01.09.899823,Feb 2020,71,17,15
10.1101/2020.01.09.899823,Mar 2020,60,12,16
10.1101/2020.01.09.899823,Apr 2020,36,3,11
10.1101/2020.01.09.899849,Jan 2020,386,10,79
10.1101/2020.01.09.899849,Feb 2020,47,20,13
10.1101/2020.01.09.899849,Mar 2020,33,18,15
10.1101/2020.01.09.899849,Apr 2020,14,4,19
10.1101/2020.01.09.899864,Jan 2020,450,20,131
10.1101/2020.01.09.899864,Feb 2020,86,27,43
10.1101/2020.01.09.899864,Mar 2020,61,12,35
10.1101/2020.01.09.899864,Apr 2020,60,16,35
10.1101/2020.01.09.899880,Jan 2020,468,15,111
10.1101/2020.01.09.899880,Feb 2020,66,20,41
10.1101/2020.01.09.899880,Mar 2020,79,15,37
10.1101/2020.01.09.899880,Apr 2020,53,3,41
10.1101/2020.01.09.899898,Jan 2020,237,6,62
10.1101/2020.01.09.899898,Feb 2020,50,21,21
10.1101/2020.01.09.899898,Mar 2020,33,7,24
10.1101/2020.01.09.899898,Apr 2020,17,4,18
10.1101/2020.01.09.899906,Jan 2020,1051,15,167
10.1101/2020.01.09.899906,Feb 2020,75,22,34
10.1101/2020.01.09.899906,Mar 2020,73,45,35
10.1101/2020.01.09.899906,Apr 2020,58,27,31
10.1101/2020.01.09.899922,Jan 2020,392,14,82
10.1101/2020.01.09.899922,Feb 2020,51,19,26
10.1101/2020.01.09.899922,Mar 2020,48,17,24
10.1101/2020.01.09.899922,Apr 2020,17,14,29
10.1101/2020.01.09.899963,Jan 2020,378,16,53
10.1101/2020.01.09.899963,Feb 2020,479,34,53
10.1101/2020.01.09.899963,Mar 2020,235,23,38
10.1101/2020.01.09.899963,Apr 2020,122,6,30
10.1101/2020.01.09.899971,Jan 2020,370,5,87
10.1101/2020.01.09.899971,Feb 2020,91,22,17
10.1101/2020.01.09.899971,Mar 2020,66,13,24
10.1101/2020.01.09.899971,Apr 2020,17,2,12
10.1101/2020.01.09.899997,Jan 2020,435,17,81
10.1101/2020.01.09.899997,Feb 2020,42,17,11
10.1101/2020.01.09.899997,Mar 2020,23,10,12
10.1101/2020.01.09.899997,Apr 2020,12,2,15
10.1101/2020.01.09.900001,Jan 2020,374,7,44
10.1101/2020.01.09.900001,Feb 2020,39,29,12
10.1101/2020.01.09.900001,Mar 2020,35,27,8
10.1101/2020.01.09.900001,Apr 2020,127,57,30
10.1101/2020.01.09.900019,Jan 2020,569,21,113
10.1101/2020.01.09.900019,Feb 2020,124,25,33
10.1101/2020.01.09.900019,Mar 2020,80,11,29
10.1101/2020.01.09.900019,Apr 2020,55,9,31
10.1101/2020.01.09.900027,Jan 2020,303,9,76
10.1101/2020.01.09.900027,Feb 2020,44,17,13
10.1101/2020.01.09.900027,Mar 2020,44,14,13
10.1101/2020.01.09.900027,Apr 2020,15,1,13
10.1101/2020.01.09.900035,Jan 2020,341,8,95
10.1101/2020.01.09.900035,Feb 2020,57,18,23
10.1101/2020.01.09.900035,Mar 2020,37,13,15
10.1101/2020.01.09.900035,Apr 2020,22,3,18
10.1101/2020.01.09.900043,Jan 2020,307,9,64
10.1101/2020.01.09.900043,Feb 2020,86,16,37
10.1101/2020.01.09.900043,Mar 2020,45,20,27
10.1101/2020.01.09.900043,Apr 2020,26,4,23
10.1101/2020.01.09.900050,Jan 2020,308,7,89
10.1101/2020.01.09.900050,Feb 2020,69,16,16
10.1101/2020.01.09.900050,Mar 2020,43,10,17
10.1101/2020.01.09.900050,Apr 2020,30,5,21
10.1101/2020.01.09.900068,Jan 2020,275,8,53
10.1101/2020.01.09.900068,Feb 2020,71,15,49
10.1101/2020.01.09.900068,Mar 2020,54,16,19
10.1101/2020.01.09.900068,Apr 2020,16,7,16
10.1101/2020.01.09.900076,Jan 2020,513,8,73
10.1101/2020.01.09.900076,Feb 2020,62,19,35
10.1101/2020.01.09.900076,Mar 2020,42,14,25
10.1101/2020.01.09.900076,Apr 2020,33,1,30
10.1101/2020.01.09.900084,Jan 2020,289,12,134
10.1101/2020.01.09.900084,Feb 2020,119,20,46
10.1101/2020.01.09.900084,Mar 2020,59,21,22
10.1101/2020.01.09.900084,Apr 2020,40,11,26
10.1101/2020.01.09.900092,Jan 2020,374,11,98
10.1101/2020.01.09.900092,Feb 2020,68,24,31
10.1101/2020.01.09.900092,Mar 2020,35,9,22
10.1101/2020.01.09.900092,Apr 2020,43,5,26
10.1101/2020.01.09.900118,Jan 2020,359,7,81
10.1101/2020.01.09.900118,Feb 2020,69,31,26
10.1101/2020.01.09.900118,Mar 2020,46,36,19
10.1101/2020.01.09.900118,Apr 2020,20,19,21
10.1101/2020.01.09.900134,Jan 2020,581,10,104
10.1101/2020.01.09.900134,Feb 2020,73,19,26
10.1101/2020.01.09.900134,Mar 2020,67,13,23
10.1101/2020.01.09.900134,Apr 2020,23,3,23
10.1101/2020.01.09.900142,Jan 2020,519,6,63
10.1101/2020.01.09.900142,Feb 2020,61,22,14
10.1101/2020.01.09.900142,Mar 2020,56,22,21
10.1101/2020.01.09.900142,Apr 2020,16,2,10
10.1101/2020.01.09.900159,Jan 2020,422,6,123
10.1101/2020.01.09.900159,Feb 2020,82,27,28
10.1101/2020.01.09.900159,Mar 2020,48,14,24
10.1101/2020.01.09.900159,Apr 2020,23,4,30
10.1101/2020.01.09.900167,Jan 2020,233,11,97
10.1101/2020.01.09.900167,Feb 2020,65,23,65
10.1101/2020.01.09.900167,Mar 2020,36,25,25
10.1101/2020.01.09.900167,Apr 2020,21,17,20
10.1101/2020.01.09.900183,Jan 2020,445,29,79
10.1101/2020.01.09.900183,Feb 2020,72,19,28
10.1101/2020.01.09.900183,Mar 2020,69,14,31
10.1101/2020.01.09.900183,Apr 2020,46,11,28
10.1101/2020.01.09.900191,Jan 2020,516,19,91
10.1101/2020.01.09.900191,Feb 2020,100,15,13
10.1101/2020.01.09.900191,Mar 2020,35,13,8
10.1101/2020.01.09.900191,Apr 2020,20,1,11
10.1101/2020.01.09.900209,Jan 2020,1173,17,178
10.1101/2020.01.09.900209,Feb 2020,187,28,55
10.1101/2020.01.09.900209,Mar 2020,70,21,39
10.1101/2020.01.09.900209,Apr 2020,42,10,30
10.1101/2020.01.09.900217,Jan 2020,326,10,89
10.1101/2020.01.09.900217,Feb 2020,97,20,54
10.1101/2020.01.09.900217,Mar 2020,38,10,10
10.1101/2020.01.09.900217,Apr 2020,30,4,27
10.1101/2020.01.09.900233,Jan 2020,609,24,121
10.1101/2020.01.09.900233,Feb 2020,109,26,41
10.1101/2020.01.09.900233,Mar 2020,54,12,9
10.1101/2020.01.09.900233,Apr 2020,42,9,21
10.1101/2020.01.09.900241,Jan 2020,1314,26,333
10.1101/2020.01.09.900241,Feb 2020,173,38,77
10.1101/2020.01.09.900241,Mar 2020,150,31,62
10.1101/2020.01.09.900241,Apr 2020,107,37,54
10.1101/2020.01.09.900266,Jan 2020,574,14,136
10.1101/2020.01.09.900266,Feb 2020,129,40,42
