doi,score,twitter,facebook,blogs,news,wikipedia,policies,published_doi,published_score,published_twitter,published_facebook,published_blogs,published_news,published_wikipedia,published_policies
10.1101/775866,1,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775874,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775882,0.5,2,0,0,0,0,0,10.1242/jcs.235192,9.05,13,0,0,0,0,0
10.1101/775890,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775908,1.25,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775916,0.5,2,0,0,0,0,0,10.1128/aem.02353-19,1.25,3,0,0,0,0,0
10.1101/775924,3,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775932,2.6,5,0,0,0,0,0,10.1016/j.meegid.2020.104213,4.8,7,0,0,0,0,0
10.1101/775940,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775957,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775965,29.8,47,0,0,0,0,0,10.1016/j.cub.2019.11.007,368.53,161,1,1,32,0,1
10.1101/775973,32.43,42,0,1,0,0,0,10.1111/pbi.13327,5.2,9,0,0,0,0,0
10.1101/775981,1.75,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/776005,4.2,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/776021,9.5,19,0,0,0,0,0,10.1038/s41418-020-0532-1,16.65,29,0,0,0,0,0
