doi,score,twitter,facebook,blogs,news,wikipedia,policies,published_doi,published_score,published_twitter,published_facebook,published_blogs,published_news,published_wikipedia,published_policies
10.1101/773200,3.35,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773218,13.2,6,0,0,1,0,0,10.3390/jcdd7010001,0,0,0,0,0,0,0
10.1101/773226,13.75,24,0,0,0,0,0,10.1038/s41598-019-55573-1,10.4,15,0,0,0,0,0
10.1101/773242,8.85,15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773259,11.55,19,0,0,0,0,0,10.1016/j.brs.2019.12.018,42.3,27,0,0,3,0,0
10.1101/773267,3.1,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773275,1.5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773283,2.35,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773291,3.85,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773309,1.75,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773317,11.88,7,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773333,1.85,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773374,2.6,6,0,0,0,0,0,10.1038/s41598-019-55158-y,2.6,4,0,0,0,0,0
10.1101/773382,1.5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773408,20.6,37,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773416,1.75,5,0,0,0,0,0,10.1083/jcb.201906006,3.25,8,1,0,0,0,0
10.1101/773424,7,12,0,0,0,0,0,10.1098/rsif.2019.0671,17.1,28,0,0,0,0,0
10.1101/773432,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773440,16.4,36,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773473,10.84,6,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773481,27.6,51,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773507,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773531,1.75,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773549,1,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773556,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773564,54.234,20,0,1,5,0,0,10.3390/ijms20194951,42.3,11,1,0,5,0,0
10.1101/773572,3.1,8,0,0,0,0,0,10.1073/pnas.1917139117,5.35,9,0,0,0,0,0
10.1101/773580,3.6,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773598,7.25,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773606,2.35,4,0,0,0,0,0,10.1021/acs.jproteome.9b00869,7.05,12,0,0,0,0,0
10.1101/773614,25.15,47,0,0,0,0,0,10.1093/molbev/msaa073,3.1,6,0,0,0,0,0
10.1101/773622,1.75,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773630,76.95,138,0,0,0,0,0,10.1016/j.ajhg.2020.01.003,23.75,47,0,0,0,0,0
10.1101/773655,6.3,11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773663,20.65,37,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773671,0,0,0,0,0,0,0,10.1371/journal.pone.0223201,0,0,0,0,0,0,0
10.1101/773689,5.45,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773697,5.7,7,0,0,0,0,0,10.1371/journal.pcbi.1007402,0,0,0,0,0,0,0
10.1101/773705,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773713,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773721,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773739,2.5,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773747,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773754,0.25,1,0,0,0,0,0,10.1371/journal.pone.0223208,0.25,1,0,0,0,0,0
10.1101/773762,3.5,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773770,1,4,0,0,0,0,0,10.1371/journal.pone.0223203,2,5,0,0,0,0,0
10.1101/773788,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773796,5.6,14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773804,3.5,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773812,2.1,5,0,0,0,0,0,10.1091/mbc.e19-09-0550,1.5,4,0,0,0,0,0
10.1101/773820,19.05,32,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773838,2.5,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773846,1.25,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773853,29.1,43,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773861,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
